Country,Emotions
Argentina,106.0
Australia,127.0
Austria,95.0
Belgium,137.0
Brazil,107.0
Canada,-147.0
Chile,130.0
Colombia,117.0
Costa Rica,72.0
Denmark,185.0
Ecuador,116.0
Finland,44.0
France,119.0
Germany,101.0
Global,-34.0
Indonesia,100.0
Ireland,394.0
Italy,108.0
Malaysia,180.0
Mexico,145.0
Netherlands,200.0
New Zealand,73.0
Norway,96.0
Peru,117.0
Philippines,212.0
Poland,211.0
Portugal,96.0
Singapore,172.0
Spain,156.0
Sweden,195.0
Switzerland,86.0
Taiwan,195.0
Turkey,26.0
United Kingdom,342.0
United States of America,-213.0
